Generation; Variation; Genome; Species; Parent; Score; Fitness; Power; Angle
0; 0.1; 1725; 950; -1; 39.10844; 39.10844; 837.726; 0.193112
0; 0.1; 1726; 951; -1; -13.94109; -13.94109; 831.9758; 0.2662047
0; 0.1; 1727; 952; -1; -0.5185742; -0.5185742; 1.170611; 0.2662032
0; 0.1; 1728; 953; -1; 1.10326; 1.10326; 802.2174; 0.2696798
0; 0.1; 1729; 954; -1; -0.986735; -0.986735; 4.134003; 0.2741041
0; 0.1; 1730; 955; -1; 1.133927; 1.133927; 1103.99; 0.25967
0; 0.1; 1731; 956; -1; -1.693909; -1.693909; 1415.775; 0.2373278
0; 0.1; 1732; 957; -1; -9.234393; -9.234393; 507.1914; 0.09954556
0; 0.1; 1733; 958; -1; -1.308519; -1.308519; 518.181; 0.2620346
0; 0.1; 1734; 959; -1; -17.87898; -100017.9; 316.8655; 1.672335
0; 0.1; 1735; 960; -1; 0.9084752; 0.9084752; 792.0909; 0.2298379
0; 0.1; 1736; 961; -1; 0.143791; 0.143791; 42.04874; 0.2618025
0; 0.1; 1737; 962; -1; 1.220172; 1.220172; 142.0229; 0.2626531
0; 0.1; 1738; 963; -1; -9.828038; -9.828038; 536.1888; 0.001291043
0; 0.1; 1739; 964; -1; 9.582179; 9.582179; 199.3899; 0.2301662
0; 0.1; 1740; 965; -1; 0.8209528; 0.8209528; 1.92585; 0.2622037
0; 0.1; 1741; 966; -1; 9.562602; 9.562602; 115.0456; 0.2771612
0; 0.1; 1742; 967; -1; -0.04438534; -0.04438534; 250.064; 0.2663704
0; 0.1; 1743; 968; -1; 0.4055729; 0.4055729; 4.174671; 0.2622088
0; 0.1; 1744; 969; -1; 1.510866; 1.510866; 266.1031; 0.261951
0; 0.1; 1745; 970; -1; -2.734904; -2.734904; 507.742; 0.2702051
0; 0.1; 1746; 971; -1; -43.28099; -100043.3; 56.2154; 1.680042
0; 0.1; 1747; 972; -1; 0.6457198; 0.6457198; 64.78677; 0.2695152
0; 0.1; 1748; 973; -1; -0.6343232; -0.6343232; 158.9805; 0.2667581
0; 0.1; 1749; 974; -1; 0.2491363; 0.2491363; 427.3139; 0.2148998
1; 0.05; 1725; 950; -1; 39.10844; 39.10844; 837.726; 0.193112
1; 0.05; 1750; 950; 1725; 26.24192; 26.24192; 722.5423; 0.3357581
1; 0.05; 1751; 975; -1; 8.862758; 8.862758; 397.5615; 0.1709069
1; 0.05; 1752; 976; -1; 104.9479; 104.9479; 157.3807; 0.03452402
1; 0.05; 1753; 977; -1; 18.18536; 18.18536; 390.1733; 0.3441905
1; 0.05; 1739; 964; -1; 9.582179; 9.582179; 199.3899; 0.2301662
1; 0.05; 1754; 964; 1739; 2.854444; 2.854444; 370.3157; 0.09559367
1; 0.05; 1755; 978; -1; 71.82928; 71.82928; 117.2927; 0.3014048
1; 0.05; 1756; 979; -1; 9.023343; 9.023343; 141.5831; 0.2670387
1; 0.05; 1757; 980; -1; 11.92808; 11.92808; 372.8708; 0.1625303
1; 0.05; 1741; 966; -1; 9.562602; 9.562602; 115.0456; 0.2771612
1; 0.05; 1758; 966; 1741; 0.7497703; 0.7497703; 86.30025; 0.2767247
1; 0.05; 1759; 981; -1; 2.520623; 2.520623; 654.8857; 0.2609701
1; 0.05; 1760; 982; -1; 0.3931539; 0.3931539; 7.184748; 0.2627085
1; 0.05; 1761; 983; -1; -8.29242; -100008.3; 612.1393; 2.016808
1; 0.05; 1744; 969; -1; 1.510866; 1.510866; 266.1031; 0.261951
1; 0.05; 1762; 969; 1744; 1.383209; 1.383209; 295.9691; 0.2661588
1; 0.05; 1763; 984; -1; 12.29327; -99987.7; 593.6089; 1.716604
1; 0.05; 1764; 985; -1; 22.66169; -99977.34; 72.66618; 1.808594
1; 0.05; 1765; 986; -1; 0.403254; 0.403254; 446.0496; 0.2909496
1; 0.05; 1766; 987; -1; 20.20938; 20.20938; 333.5352; 0.2894812
1; 0.05; 1767; 988; -1; 24.56897; -99975.43; 47.05481; 1.819267
1; 0.05; 1768; 989; -1; -4.381515; -100004.4; 87.42535; 2.582655
1; 0.05; 1769; 990; -1; -1.168989; -1.168989; 175.3258; 0.2639101
1; 0.05; 1770; 991; -1; -0.1667189; -0.1667189; 165.5078; 0.2603563
2; 0.03333334; 1752; 976; -1; 104.9479; 104.9479; 157.3807; 0.03452402
2; 0.03333334; 1771; 976; 1752; 78.95898; 78.95898; 174.8242; 0.1634483
2; 0.03333334; 1772; 992; -1; 0.6887999; 0.6887999; 482.6503; 0.2657525
2; 0.03333334; 1773; 993; -1; -0.4315447; -0.4315447; 924.9114; 0.2756299
2; 0.03333334; 1774; 994; -1; -9.73703; -100009.7; 472.8847; 1.824444
2; 0.03333334; 1755; 978; -1; 71.82928; 71.82928; 117.2927; 0.3014048
2; 0.03333334; 1775; 978; 1755; -48.65369; -100048.7; 197.36; 1.772667
2; 0.03333334; 1776; 995; -1; -3.465268; -3.465268; 5.666752; 0.2518725
2; 0.03333334; 1777; 996; -1; -11.05259; -100011.1; 444.6049; 1.94526
2; 0.03333334; 1778; 997; -1; -0.6481206; -0.6481206; 352.2641; 0.2673797
2; 0.03333334; 1725; 950; -1; 39.10844; 39.10844; 837.726; 0.193112
2; 0.03333334; 1779; 950; 1725; 35.51568; 35.51568; 759.2731; 0.2245262
2; 0.03333334; 1750; 950; 1725; 26.24192; 26.24192; 722.5423; 0.3357581
2; 0.03333334; 1780; 950; 1750; 23.91532; 23.91532; 675.6159; 0.009072517
2; 0.03333334; 1781; 998; -1; -2.778348; -100002.8; 78.93355; 1.78572
2; 0.03333334; 1766; 987; -1; 20.20938; 20.20938; 333.5352; 0.2894812
2; 0.03333334; 1782; 987; 1766; 14.82976; 14.82976; 329.6486; 0.2680576
2; 0.03333334; 1783; 999; -1; -0.8804978; -0.8804978; 863.5378; 0.2724953
2; 0.03333334; 1784; 1000; -1; -5.44712; -5.44712; 630.7646; 0.08862349
2; 0.03333334; 1785; 1001; -1; 1.872185; 1.872185; 383.6754; 0.2686798
2; 0.03333334; 1786; 1002; -1; 2.908721; 2.908721; 504.5204; 0.02010213
2; 0.03333334; 1787; 1003; -1; 0.4212537; 0.4212537; 759.1215; 0.1913401
2; 0.03333334; 1788; 1004; -1; 1.2123; 1.2123; 36.99228; 0.2708929
2; 0.03333334; 1789; 1005; -1; 7.94936; 7.94936; 304.37; 0.05652363
2; 0.03333334; 1790; 1006; -1; 1.729939; 1.729939; 1160.307; 0.188134
3; 0.025; 1752; 976; -1; 104.9479; 104.9479; 157.3807; 0.03452402
3; 0.025; 1791; 976; 1752; 96.58575; 96.58575; 158.2849; 0.05996238
3; 0.025; 1771; 976; 1752; 78.95898; 78.95898; 174.8242; 0.1634483
3; 0.025; 1792; 976; 1771; 112.1317; 112.1317; 185.252; 0.3633095
3; 0.025; 1793; 1007; -1; -0.4167256; -0.4167256; 145.1934; 0.260792
3; 0.025; 1755; 978; -1; 71.82928; 71.82928; 117.2927; 0.3014048
3; 0.025; 1794; 978; 1755; 65.16397; -99934.84; 154.5119; 1.624171
3; 0.025; 1775; 978; 1755; -48.65369; -100048.7; 197.36; 1.772667
3; 0.025; 1795; 978; 1775; -13.94053; -100013.9; 136.9161; 2.040238
3; 0.025; 1796; 1008; -1; 18.5254; -99981.48; 326.8997; 1.905873
3; 0.025; 1725; 950; -1; 39.10844; 39.10844; 837.726; 0.193112
3; 0.025; 1797; 950; 1725; 14.04781; 14.04781; 822.9252; 0.006314038
3; 0.025; 1779; 950; 1725; 35.51568; 35.51568; 759.2731; 0.2245262
3; 0.025; 1798; 950; 1779; 39.87714; 39.87714; 784.1055; 0.3097891
3; 0.025; 1799; 1009; -1; 0.1782706; 0.1782706; 3.560152; 0.2950611
3; 0.025; 1766; 987; -1; 20.20938; 20.20938; 333.5352; 0.2894812
