Generation; Variation; Genome; Species; Parent; Score; Fitness; Power; Angle
0; 0.1; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
0; 0.1; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
0; 0.1; 3445; 1890; -1; -5.922455; -8.523472; 26.01016; 0.2776884
0; 0.1; 3446; 1891; -1; -8.835554; -43.18652; 343.5097; 0.2781256
0; 0.1; 3447; 1892; -1; 3.524185; -35.83125; 393.5544; 0.285076
0; 0.1; 3448; 1893; -1; 13.53786; -24.98108; 385.1895; 0.2595015
0; 0.1; 3449; 1894; -1; -2.944422; -112.7784; 1098.339; 0.2665119
0; 0.1; 3450; 1895; -1; 17.06113; -99988.16; 52.27946; 1.667574
0; 0.1; 3451; 1896; -1; 0.1932523; -45.5542; 457.4745; 0.2703483
0; 0.1; 3452; 1897; -1; -20.28523; -100095.5; 752.2634; 1.704778
0; 0.1; 3453; 1898; -1; -0.6031215; -10.0171; 94.1398; 0.2749193
0; 0.1; 3454; 1899; -1; 10.03818; -71.92665; 819.6483; 0.02137944
0; 0.1; 3455; 1900; -1; 33.38461; -99992.2; 255.7655; 2.007112
0; 0.1; 3456; 1901; -1; 1.149063; 0.8045015; 3.445612; 0.2783327
0; 0.1; 3457; 1902; -1; 5.767861; -39.69271; 454.6057; 0.7360842
0; 0.1; 3458; 1903; -1; 38.20927; 31.87231; 63.36957; 0.2426804
0; 0.1; 3459; 1904; -1; -3.520015; -102.3324; 988.1235; 0.1500505
0; 0.1; 3460; 1905; -1; 21.37117; -12.22384; 335.9501; 0.03643325
0; 0.1; 3461; 1906; -1; 0.7845547; -10.48512; 112.6967; 0.2626682
0; 0.1; 3462; 1907; -1; 12.54562; -42.1792; 547.2482; 0.02838626
0; 0.1; 3463; 1908; -1; -1.313568; -100039.6; 383.203; 1.960122
0; 0.1; 3464; 1909; -1; 0.1433799; -20.36183; 205.0521; 0.2868349
0; 0.1; 3465; 1910; -1; 1.007273; -13.6528; 146.6007; 0.2647561
0; 0.1; 3466; 1911; -1; -4.906204; -20.32281; 154.166; 0.2642504
0; 0.1; 3467; 1912; -1; -0.5716974; -14.45225; 138.8055; 0.2651003
1; 0.05; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
1; 0.05; 3468; 976; 3383; 104.6583; 91.64068; 130.176; 0.452682
1; 0.05; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
1; 0.05; 3469; 976; 2886; 92.78497; 70.81733; 219.6764; 0.0222496
1; 0.05; 3470; 1913; -1; 1.544909; -23.23185; 247.7676; 0.2647468
1; 0.05; 3458; 1903; -1; 38.20927; 31.87231; 63.36957; 0.2426804
1; 0.05; 3471; 1903; 3458; -22.63439; -100028.7; 60.33874; 1.855762
1; 0.05; 3472; 1914; -1; 0.1742235; 0.0551814; 1.190421; 0.273072
