Generation; Variation; Genome; Species; Parent; Score; Fitness; Power; Angle
0; 1; 0; 0; -1; -28.72558; -28.72558; 143.9712; 0
0; 1; 1; 1; -1; -37.55944; -37.55944; 87.67451; 0
0; 1; 2; 2; -1; -12.25258; -12.25258; 42.89341; 0
0; 1; 3; 3; -1; -15.07253; -15.07253; 32.76696; 0
0; 1; 4; 4; -1; -9.491683; -9.491683; 47.45834; 0
0; 1; 5; 5; -1; -8.651739; -8.651739; 20.88781; 0
0; 1; 6; 6; -1; -3.271371; -3.271371; 89.46442; 0
0; 1; 7; 7; -1; -7.097772; -7.097772; 37.89584; 0
0; 1; 8; 8; -1; -8.240511; -8.240511; 25.70618; 0
0; 1; 9; 9; -1; -12.01836; -12.01836; 242.6079; 0
0; 1; 10; 10; -1; -26.39005; -26.39005; 107.8639; 0
0; 1; 11; 11; -1; -12.00459; -12.00459; 16.66672; 0
0; 1; 12; 12; -1; -10.62434; -10.62434; 191.1807; 0
0; 1; 13; 13; -1; -9.152546; -9.152546; 30.51782; 0
0; 1; 14; 14; -1; -4.142386; -4.142386; 22.28563; 0
0; 1; 15; 15; -1; -23.03968; -23.03968; 73.4514; 0
0; 1; 16; 16; -1; -5.208702; -5.208702; 15.53092; 0
1; 0.5; 6; 6; -1; -3.271371; -3.271371; 89.46442; 0
1; 0.5; 17; 6; 6; 1.314874; 1.314874; 63.94755; 0
1; 0.5; 18; 6; 6; -54.59383; -54.59383; 172.0028; 0
1; 0.5; 19; 6; 6; -6.650935; -6.650935; 78.71807; 0
1; 0.5; 20; 6; 6; -3.029778; -3.029778; 283.749; 0
1; 0.5; 21; 6; 6; -13.08272; -13.08272; 91.48909; 0
1; 0.5; 14; 14; -1; -4.142386; -4.142386; 22.28563; 0
1; 0.5; 22; 14; 14; -11.61978; -11.61978; 130.1309; 0
1; 0.5; 23; 14; 14; -11.57983; -11.57983; 274.1626; 0
1; 0.5; 24; 14; 14; -10.98662; -10.98662; 135.9424; 0
1; 0.5; 16; 16; -1; -5.208702; -5.208702; 15.53092; 0
1; 0.5; 25; 16; 16; -10.55713; -10.55713; 104.856; 0
1; 0.5; 26; 17; -1; -18.44357; -18.44357; 116.9445; 0
1; 0.5; 27; 18; -1; -5.860847; -5.860847; 5.323162; 0
1; 0.5; 28; 19; -1; -12.49107; -12.49107; 33.54465; 0
1; 0.5; 29; 20; -1; -6.450071; -6.450071; 141.3183; 0
1; 0.5; 30; 21; -1; -8.665815; -8.665815; 12.28827; 0
2; 0.3333333; 17; 6; 6; 1.314874; 1.314874; 63.94755; 0
2; 0.3333333; 31; 6; 17; -1.409343; -1.409343; 199.7246; 0
2; 0.3333333; 20; 6; 6; -3.029778; -3.029778; 283.749; 0
2; 0.3333333; 32; 6; 20; -12.00389; -12.00389; 390.5615; 0
2; 0.3333333; 6; 6; -1; -3.271371; -3.271371; 89.46442; 0
2; 0.3333333; 33; 6; 6; -9.523398; -9.523398; 98.94085; 0
2; 0.3333333; 14; 14; -1; -4.142386; -4.142386; 22.28563; 0
2; 0.3333333; 34; 14; 14; -11.72939; -11.72939; 25.51185; 0
2; 0.3333333; 24; 14; 14; -10.98662; -10.98662; 135.9424; 0
2; 0.3333333; 35; 14; 24; -10.60131; -10.60131; 165.2395; 0
2; 0.3333333; 16; 16; -1; -5.208702; -5.208702; 15.53092; 0
2; 0.3333333; 36; 16; 16; -9.128439; -9.128439; 27.44188; 0
2; 0.5; 37; 22; -1; -13.80973; -13.80973; 44.46793; 0
2; 0.5; 38; 23; -1; -3.607447; -3.607447; 19.63785; 0
2; 0.5; 39; 24; -1; -2.076615; -2.076615; 63.5751; 0
2; 0.5; 40; 25; -1; -30.39496; -30.39496; 105.5531; 0
2; 0.5; 41; 26; -1; -6.88441; -6.88441; 122.9213; 0
3; 0.25; 17; 6; 6; 1.314874; 1.314874; 63.94755; 0
3; 0.25; 42; 6; 17; -12.14421; -12.14421; 184.9292; 0
3; 0.25; 31; 6; 17; -1.409343; -1.409343; 199.7246; 0
3; 0.25; 43; 6; 31; 1.294793; 1.294793; 253.8677; 0
3; 0.25; 20; 6; 6; -3.029778; -3.029778; 283.749; 0
3; 0.25; 44; 6; 20; 0.5518733; 0.5518733; 357.4044; 0
3; 0.3333333; 39; 24; -1; -2.076615; -2.076615; 63.5751; 0
3; 0.3333333; 45; 24; 39; -6.203793; -6.203793; 18.2186; 0
3; 0.3333333; 46; 24; 39; -0.7165429; -0.7165429; 122.0381; 0
3; 0.3333333; 47; 24; 39; -3.334148; -3.334148; 75.81697; 0
3; 0.3333333; 38; 23; -1; -3.607447; -3.607447; 19.63785; 0
3; 0.3333333; 48; 23; 38; -1.974069; -1.974069; 45.99625; 0
3; 0.5; 49; 27; -1; -3.050167; -3.050167; 150.8068; 0
3; 0.5; 50; 28; -1; -8.232567; -8.232567; 51.9857; 0
3; 0.5; 51; 29; -1; -7.315517; -7.315517; 29.82884; 0
3; 0.5; 52; 30; -1; -17.45581; -17.45581; 54.93493; 0
3; 0.5; 53; 31; -1; -5.881894; -5.881894; 18.86386; 0
4; 0.2; 17; 6; 6; 1.314874; 1.314874; 63.94755; 0
4; 0.2; 54; 6; 17; -12.05416; -12.05416; 482.9758; 0
4; 0.2; 43; 6; 31; 1.294793; 1.294793; 253.8677; 0
4; 0.2; 55; 6; 43; 1.205413; 1.205413; 321.1281; 0
4; 0.2; 44; 6; 20; 0.5518733; 0.5518733; 357.4044; 0
4; 0.2; 56; 6; 44; 1.217081; 1.217081; 356.0048; 0
4; 0.25; 46; 24; 39; -0.7165429; -0.7165429; 122.0381; 0
4; 0.25; 57; 24; 46; 1.174929; 1.174929; 117.5382; 0
4; 0.25; 39; 24; -1; -2.076615; -2.076615; 63.5751; 0
4; 0.25; 58; 24; 39; -9.360614; -9.360614; 84.46429; 0
4; 0.25; 48; 23; 38; -1.974069; -1.974069; 45.99625; 0
4; 0.25; 59; 23; 48; -1.539443; -1.539443; 98.94195; 0
4; 0.5; 60; 32; -1; -10.78506; -10.78506; 21.27344; 0
4; 0.5; 61; 33; -1; -8.312792; -8.312792; 88.99087; 0
4; 0.5; 62; 34; -1; -5.269598; -5.269598; 100.5268; 0
4; 0.5; 63; 35; -1; -13.33083; -13.33083; 40.51694; 0
4; 0.5; 64; 36; -1; 1.248685; 1.248685; 120.7724; 0
5; 0.1666667; 17; 6; 6; 1.314874; 1.314874; 63.94755; 0
5; 0.1666667; 65; 6; 17; -11.31612; -11.31612; 263.5779; 0
5; 0.1666667; 43; 6; 31; 1.294793; 1.294793; 253.8677; 0
5; 0.1666667; 66; 6; 43; -0.3830668; -0.3830668; 346.7116; 0
5; 0.1666667; 56; 6; 44; 1.217081; 1.217081; 356.0048; 0
5; 0.1666667; 67; 6; 56; 0.4650257; 0.4650257; 300.4253; 0
5; 0.3333333; 64; 36; -1; 1.248685; 1.248685; 120.7724; 0
5; 0.3333333; 68; 36; 64; -3.309507; -3.309507; 45.09878; 0
5; 0.3333333; 69; 36; 64; 1.2613; 1.2613; 133.8928; 0
5; 0.3333333; 70; 36; 64; 0.1125972; 0.1125972; 167.561; 0
5; 0.2; 57; 24; 46; 1.174929; 1.174929; 117.5382; 0
5; 0.2; 71; 24; 57; -4.197571; -4.197571; 34.4402; 0
5; 0.5; 72; 37; -1; -3.811634; -3.811634; 102.287; 0
5; 0.5; 73; 38; -1; -11.21613; -11.21613; 119.4897; 0
5; 0.5; 74; 39; -1; -8.955396; -8.955396; 19.72356; 0
5; 0.5; 75; 40; -1; -7.53663; -7.53663; 18.9453; 0
5; 0.5; 76; 41; -1; -6.309668; -6.309668; 45.66906; 0
