Variation; Generation; Genome; Parent; Score
0.0001;0;1068; 816; 31.63081
0.0001;0;1069; 673; 20.12377
0.0001;0;1071; 983; 19.22934
0.0001;0;1072; 612; 31.25714
0.0001;0;816; 707; 33.2927
0.0001;0;673; 643; 33.37976
0.0001;0;707; 612; 33.71551
0.0001;0;983; 732; 34.45084
0.0001;0;612; 584; 34.80486
0.0001;0;1073; -1; -0.2560464
0.0001;0;1074; -1; -3.353669
0.0001;0;1075; -1; 14.61699
0.0001;0;1076; -1; -2.3492
0.0001;0;1077; -1; -0.3564164
0.0001;0;1078; -1; 47.02996
0.0001;0;1079; -1; 3.761235
0.0001;0;1080; -1; -3.373949
0.0001;0;1081; -1; -2.780032
0.0001;0;1082; -1; -3.114388
0.0001;0;1083; -1; 12.04122
0.0001;0;1084; -1; -3.513939
0.0001;0;1085; -1; -0.6897738
0.0001;0;1086; -1; 13.51359
0.0001;0;1087; -1; -11.66409
0.0001;0;1088; -1; 16.42432
0.0001;0;1089; -1; -0.7053216
0.0001;0;1090; -1; -3.39905
0.0001;0;1091; -1; 4.79116
0.0001;0;1092; -1; 51.1674
0.0001;0;1093; -1; 8.348758
0.0001;0;1094; -1; 23.34319
0.0001;0;1095; -1; 3.563942
0.0001;0;1096; -1; -13.09551
0.0001;0;1097; -1; -3.241404
0.0001;0;1098; -1; -1.913486
0.0001;0;1099; -1; -8.393193
0.0001;0;1100; -1; 6.817245
0.0001;0;1101; -1; -1.492051
0.0001;0;1102; -1; -2.791977
0.0001;0;1103; -1; 19.33753
0.0001;0;1104; -1; -0.3051973
0.0001;0;1105; -1; -0.3115834
0.0001;0;1106; -1; -2.998994
0.0001;0;1107; -1; 44.51425
0.0001;0;1108; -1; -3.350814
0.0001;0;1109; -1; -2.852606
0.0001;0;1110; -1; 15.30003
0.0001;0;1111; -1; 0.2312574
0.0001;0;1112; -1; 16.12922
0.0001;0;1113; -1; 55.84356
0.0001;1;1114; 1079; -2.285484
0.0001;1;1115; 1091; 4.795837
0.0001;1;1116; 1100; 20.81973
0.0001;1;1117; 1093; 8.416359
0.0001;1;1118; 1083; 11.95747
0.0001;1;1119; 1086; 13.53986
0.0001;1;1120; 1075; 14.37666
0.0001;1;1121; 1110; 15.54781
0.0001;1;1122; 1112; 16.04874
0.0001;1;1123; 1088; 9.57615
0.0001;1;1124; 1071; 29.91209
0.0001;1;1125; 1103; 19.31666
0.0001;1;1126; 1069; 19.26713
0.0001;1;1127; 1094; 19.85301
0.0001;1;1128; 1072; 32.43498
0.0001;1;1129; 1068; 7.592716
0.0001;1;1130; 816; 32.30872
0.0001;1;1131; 673; 32.71477
0.0001;1;1132; 707; 29.22138
0.0001;1;1133; 983; 9.371207
0.0001;1;1134; 612; 35.24277
0.0001;1;1135; 1107; 44.07971
0.0001;1;1136; 1078; 45.90574
0.0001;1;1137; 1092; 51.60501
0.0001;1;1138; 1113; 55.84935
0.0001;1;1079; -1; 3.761235
0.0001;1;1091; -1; 4.79116
0.0001;1;1100; -1; 6.817245
0.0001;1;1093; -1; 8.348758
0.0001;1;1083; -1; 12.04122
0.0001;1;1086; -1; 13.51359
0.0001;1;1075; -1; 14.61699
0.0001;1;1110; -1; 15.30003
0.0001;1;1112; -1; 16.12922
0.0001;1;1088; -1; 16.42432
0.0001;1;1071; 983; 19.22934
0.0001;1;1103; -1; 19.33753
0.0001;1;1069; 673; 20.12377
